provider;name;address;northing;easting;lat;lon;lat_ind;lon_ind;spots
RWE Ladestationen;RWE Ladestationen;Otto-Suhr-Allee 84, 10585 Berlin;18574.021879214;21091.744416084;52.516606;13.309397;52.516606;13.309397;2
RWE Ladestationen;RWE Ladestationen;Kantstr. Str. 111, 10627 Berlin;18329.741639029;20013.976090735;52.508015;13.302535;52.508015;13.302535;2
RWE Ladestationen;RWE Ladestationen;Kantstr. Str. 111, 10627 Berlin;18329.741639029;20013.976090735;52.508015;13.302535;52.508015;13.302535;2
RWE Ladestationen;RWE Ladestationen;Steubenplatz 2-4, 14050 Berlin;15268.786042166;21100.238017731;52.516414;13.26097;52.516414;13.26097;2
RWE Ladestationen;RWE Ladestationen;Otto-Suhr-Allee 84, 10585 Berlin;18574.021879214;21091.744416084;52.516606;13.309397;52.516606;13.309397;2
RWE Ladestationen;RWE Ladestationen;Krumme Straße 73, 10585 Berlin;18534.321960395;20600.401047852;52.51211;13.309386;52.51211;13.309386;2
RWE Ladestationen;RWE Ladestationen;Windscheid Str. 20, 10627 Berlin;17901.83350156;19818.707148855;52.50499;13.299906;52.50499;13.299906;2
RWE Ladestationen;RWE Ladestationen;Ruhlebener Str. 161, 13597 Berlin;12261.249712835;22238.196611227;52.526582;13.216825;52.526582;13.216825;2
RWE Ladestationen;RWE Ladestationen;Charlottenburger Chaussee 75, 13597 Berlin;13073.225835044;22418.601127617;52.528374;13.227667;52.528374;13.227667;2
RWE Ladestationen;RWE Ladestationen;Ruhlebener Str. 161, 13597 Berlin;12261.249712835;22238.196611227;52.526582;13.216825;52.526582;13.216825;2
RWE Ladestationen;RWE Ladestationen;Falkenseer Chaussee 259, 13583 Berlin;10009.190540785;24584.610711932;52.547682;13.183574;52.547682;13.183574;2
RWE Ladestationen;RWE Ladestationen;Marzahner Str. 24, 13053 Berlin;32936.975312913;24063.389962703;52.544572;13.520387;52.544572;13.520387;2
RWE Ladestationen;RWE Ladestationen;Marzahner Str. 24, 13053 Berlin;32936.975312913;24063.389962703;52.544572;13.520387;52.544572;13.520387;2
RWE Ladestationen;RWE Ladestationen;Gntzel Straße 29-30, 10717 Berlin;19964.700082504;18239.566391143;52.491704;13.321935;52.491704;13.321935;2
RWE Ladestationen;RWE Ladestationen;Große-Leege-Str. 115, 13055 Berlin;31569.389222156;24606.274006487;52.548304;13.501142;52.548304;13.501142;2
RWE Ladestationen;RWE Ladestationen;Einbecker Straße 119, 10315 Berlin;32387.863338662;19830.897902337;52.505687;13.513477;52.505687;13.513477;2
Vattenfall Ladestationen;REWE;Ladiusstrasse 26, 14165 Berlin;15310.5990692601;9361.50991549049;52.410965;13.262612;52.410965;13.262612;2
Vattenfall Ladestationen;ContiPark;Sch”nhauser Allee 36, 10435 Berlin;25548.4353529977;23488.7401927147;52.538288;13.412384;52.538288;13.412384;2
Vattenfall Ladestationen;REWE;Wendenschloßstrasse 354?358, 12557 Berlin;37336.7014162848;10886.1633538328;52.42522;13.586289;52.42522;13.586289;2
Vattenfall Ladestationen;Elektro-Innung Berlin;Wilhelminenhofstrasse 75, 12459 Berlin;33367.836223802;14476.3931926203;52.45745;13.527873;52.45745;13.527873;2
Vattenfall Ladestationen;ContiPark;Glinkastrasse 38 / Franz”sische Strasse 62, 10117 Berlin;15436.60151634;12262.436522877;52.516074;13.376987;52.516074;13.376987;2
